iter	MultiClass
0	1.020781008
1	0.9526739474
2	0.8846248841
3	0.8273706755
4	0.776299155
5	0.7307496792
6	0.6926509239
7	0.6572170593
8	0.6265895506
9	0.5985426726
10	0.5685417355
11	0.540148003
12	0.5148747374
13	0.494400353
14	0.4815164429
15	0.4636294475
16	0.4539609971
17	0.440944085
18	0.4231220913
19	0.4065203592
20	0.3899815435
21	0.3778356142
22	0.3635938595
23	0.352741466
24	0.3462233258
25	0.3396650641
26	0.328442466
27	0.318830007
28	0.3120688465
29	0.3089898217
30	0.3018062287
31	0.295729806
32	0.2879821055
33	0.2840976117
34	0.2807059318
35	0.2743740086
36	0.2691992693
37	0.2658229037
38	0.264476607
39	0.2603030917
40	0.2545430421
41	0.2486296556
42	0.2439511884
43	0.2400523838
44	0.2375771335
45	0.2339843756
46	0.2304403508
47	0.2274051332
48	0.22612304
49	0.2239925742
50	0.2223034404
51	0.2204560714
52	0.2174961479
53	0.2140014094
54	0.2114474399
55	0.2102815129
56	0.2090817957
57	0.2070940225
58	0.2056889261
59	0.2044100887
60	0.2035492535
61	0.2013061102
62	0.1994588921
63	0.1976341454
64	0.1959120195
65	0.1935896811
66	0.1925725217
67	0.1893019029
68	0.1878715125
69	0.1870789313
70	0.1860050989
71	0.1849752552
72	0.1827694658
73	0.1810668359
74	0.1799313983
75	0.1787108901
76	0.1772108266
77	0.1758563733
78	0.1740385149
79	0.1734299237
80	0.1720186688
81	0.1697586774
82	0.1681966728
83	0.1676308339
84	0.1662062375
85	0.1647190463
86	0.1628033237
87	0.1623011022
88	0.1613969728
89	0.1602260806
90	0.1587051433
91	0.1571506859
92	0.1546851965
93	0.1540159816
94	0.1524566942
95	0.1515298978
96	0.1508126628
97	0.1496018913
98	0.1485967018
99	0.146886541
100	0.1458510221
101	0.1446241841
102	0.1442164788
103	0.1429411915
104	0.1415777525
105	0.1407625535
106	0.1401206653
107	0.1388120772
108	0.1380122327
109	0.1368413161
110	0.1360406251
111	0.135006997
112	0.1342929102
113	0.1339323116
114	0.1327236794
115	0.1318449249
116	0.1311004629
117	0.1298089508
118	0.1287376613
119	0.1272197932
120	0.1267388144
121	0.1252960823
122	0.1248862561
123	0.1240766263
124	0.122699421
125	0.1217214313
126	0.1207527104
127	0.1201627949
128	0.1189789003
129	0.1184345773
130	0.11736204
131	0.1168234364
132	0.1160187025
133	0.1153681867
134	0.1147216939
135	0.1138709943
136	0.1134316137
137	0.1131567044
138	0.1127777007
139	0.1122188354
140	0.1109107488
141	0.1100907121
142	0.1096774117
143	0.1094125139
144	0.1088044016
145	0.1080962996
146	0.1078467905
147	0.1077060557
