iter	Passed	Remaining
414	4715	6646
415	4724	6632
416	4732	6615
417	4739	6599
418	4748	6584
419	4756	6568
420	4766	6554
421	4773	6538
422	4783	6525
423	4791	6509
424	4800	6494
425	4809	6480
426	4819	6467
427	4833	6460
428	4843	6446
429	4850	6430
430	4858	6414
431	4866	6398
432	4874	6383
433	4882	6367
434	4890	6351
435	4897	6335
436	4905	6320
437	4913	6304
438	4921	6289
439	4929	6273
440	4937	6258
441	4944	6242
442	4953	6227
443	4960	6211
444	4967	6196
445	4975	6180
446	4985	6167
447	4996	6156
448	5006	6144
449	5016	6130
450	5023	6115
451	5032	6101
452	5040	6085
453	5047	6070
454	5055	6056
455	5063	6040
456	5072	6027
457	5081	6012
458	5090	6000
459	5099	5986
460	5111	5976
461	5120	5963
462	5129	5949
463	5139	5936
464	5147	5922
465	5157	5910
466	5174	5905
467	5192	5902
468	5201	5889
469	5210	5875
470	5219	5862
471	5228	5848
472	5237	5835
473	5247	5823
474	5258	5812
475	5267	5798
476	5275	5784
477	5285	5771
478	5296	5760
479	5305	5748
480	5315	5735
481	5324	5721
482	5334	5709
483	5344	5698
484	5353	5685
485	5362	5671
486	5372	5659
487	5382	5646
488	5392	5635
489	5408	5629
490	5423	5622
491	5435	5612
492	5444	5598
493	5454	5586
494	5463	5573
495	5473	5562
496	5482	5548
497	5491	5535
498	5501	5523
499	5510	5510
500	5521	5499
501	5529	5485
502	5539	5473
503	5548	5460
504	5556	5446
505	5565	5433
506	5573	5419
507	5585	5409
508	5601	5403
509	5612	5392
510	5621	5379
511	5630	5366
512	5639	5353
513	5648	5340
514	5655	5326
515	5663	5312
516	5671	5298
517	5680	5286
518	5689	5272
519	5697	5259
520	5705	5245
521	5715	5233
522	5724	5220
523	5728	5204
524	5738	5191
525	5749	5181
526	5760	5169
527	5769	5157
528	5781	5147
529	5790	5135
530	5801	5124
531	5812	5112
532	5821	5101
533	5831	5089
534	5847	5082
535	5863	5075
536	5876	5066
537	5885	5053
538	5895	5042
539	5905	5030
540	5915	5018
541	5923	5005
542	5933	4993
543	5943	4981
544	5953	4970
545	5962	4957
546	5972	4946
547	5983	4934
548	5992	4922
549	6002	4910
550	6011	4899
551	6028	4892
552	6069	4906
553	6083	4897
554	6094	4886
555	6105	4875
556	6115	4864
557	6124	4851
558	6134	4839
559	6142	4826
560	6151	4814
561	6162	4802
562	6171	4790
563	6180	4778
564	6189	4765
565	6199	4753
566	6209	4742
567	6219	4730
568	6228	4718
569	6238	4706
570	6246	4693
571	6255	4680
572	6264	4668
573	6273	4655
574	6286	4646
575	6298	4636
576	6310	4626
577	6319	4613
578	6329	4602
579	6339	4590
580	6348	4578
581	6358	4566
582	6367	4554
583	6376	4541
584	6385	4529
585	6393	4517
586	6403	4505
587	6411	4492
588	6420	4479
589	6428	4467
590	6441	4458
591	6454	4448
592	6463	4436
593	6472	4423
594	6481	4411
595	6490	4399
596	6500	4387
597	6511	4377
598	6522	4366
599	6531	4354
600	6540	4342
601	6550	4330
602	6560	4319
603	6571	4308
604	6581	4296
605	6590	4284
606	6606	4277
607	6620	4268
608	6633	4259
609	6645	4248
610	6655	4237
611	6667	4226
612	6677	4215
613	6685	4203
614	6698	4193
615	6709	4182
616	6718	4170
617	6728	4158
618	6736	4146
619	6746	4134
620	6755	4122
621	6764	4111
622	6780	4103
623	6794	4094
624	6807	4084
625	6820	4074
626	6829	4062
627	6839	4051
628	6847	4039
629	6857	4027
630	6866	4015
631	6875	4003
632	6884	3991
633	6892	3978
634	6900	3966
635	6908	3953
636	6916	3941
637	6924	3928
638	6932	3916
639	6940	3903
640	6949	3892
641	6957	3879
642	6967	3868
643	6976	3856
644	6991	3847
645	7001	3836
646	7010	3824
647	7019	3812
648	7028	3800
649	7035	3788
650	7043	3776
651	7050	3763
652	7059	3751
653	7066	3738
654	7073	3725
655	7082	3713
656	7090	3701
657	7098	3689
658	7106	3677
659	7114	3664
660	7121	3652
661	7129	3639
662	7136	3627
663	7144	3615
664	7152	3603
665	7162	3591
666	7170	3579
667	7178	3567
668	7187	3556
669	7196	3544
670	7210	3535
671	7224	3526
672	7239	3517
673	7247	3505
674	7258	3494
675	7267	3483
676	7277	3471
677	7286	3460
678	7296	3449
679	7305	3438
680	7315	3427
681	7325	3415
682	7334	3404
683	7343	3392
684	7353	3381
685	7363	3370
686	7374	3359
687	7385	3349
688	7394	3337
689	7417	3332
690	7431	3322
691	7440	3311
692	7448	3299
693	7455	3287
694	7463	3275
695	7471	3263
696	7479	3251
697	7487	3239
698	7495	3227
699	7503	3215
700	7512	3204
701	7518	3191
702	7525	3179
703	7532	3167
704	7539	3154
705	7545	3142
706	7551	3129
707	7559	3117
708	7567	3106
709	7576	3094
710	7583	3082
711	7592	3071
712	7600	3059
713	7610	3048
714	7619	3037
715	7631	3026
716	7642	3016
717	7652	3005
718	7663	2995
719	7671	2983
720	7678	2971
721	7686	2959
722	7693	2947
723	7700	2935
724	7709	2924
725	7717	2912
726	7725	2900
727	7731	2888
728	7739	2876
729	7746	2865
730	7754	2853
731	7762	2841
732	7770	2830
733	7777	2818
734	7785	2807
735	7793	2795
736	7801	2784
737	7809	2772
738	7817	2761
739	7823	2748
740	7831	2737
741	7839	2725
742	7851	2715
743	7860	2704
744	7872	2694
745	7881	2683
746	7890	2672
747	7899	2661
748	7908	2650
749	7919	2639
750	7928	2628
751	7937	2617
752	7947	2606
753	7958	2596
754	7968	2585
755	7981	2576
756	7992	2565
757	8002	2554
758	8013	2544
759	8026	2534
760	8034	2523
761	8053	2515
762	8071	2507
763	8086	2497
764	8102	2488
765	8113	2478
766	8125	2468
767	8136	2457
768	8147	2447
769	8159	2437
770	8171	2427
771	8181	2416
772	8192	2405
773	8202	2395
774	8212	2384
775	8222	2373
776	8235	2363
777	8244	2352
778	8255	2341
779	8265	2331
780	8281	2322
781	8291	2311
782	8305	2301
783	8318	2291
784	8337	2283
785	8357	2275
786	8370	2265
787	8383	2255
788	8394	2245
789	8405	2234
790	8416	2223
791	8426	2212
792	8434	2201
793	8443	2190
794	8450	2179
795	8460	2168
796	8468	2157
797	8478	2146
798	8486	2134
799	8496	2124
800	8578	2131
801	8661	2138
802	8679	2129
803	8691	2118
804	8701	2107
805	8731	2101
806	8746	2091
807	8757	2081
808	8767	2069
809	8776	2058
810	8787	2047
811	8795	2036
812	8806	2025
813	8815	2014
814	8832	2004
815	8852	1996
816	8866	1985
817	8875	1974
818	8886	1963
819	8906	1955
820	8936	1948
821	8948	1937
822	8960	1927
823	8970	1915
824	8982	1905
825	8992	1894
826	9004	1883
827	9016	1873
828	9027	1862
829	9036	1850
830	9065	1843
831	9086	1834
832	9101	1824
833	9113	1813
834	9125	1803
835	9134	1791
836	9147	1781
837	9156	1770
838	9168	1759
839	9177	1748
840	9190	1737
841	9200	1726
842	9211	1715
843	9223	1704
844	9236	1694
845	9246	1683
846	9262	1673
847	9276	1662
848	9287	1651
849	9296	1640
850	9306	1629
851	9316	1618
852	9326	1607
853	9338	1596
854	9351	1585
855	9363	1575
856	9373	1564
857	9385	1553
858	9395	1542
859	9405	1531
860	9418	1520
861	9431	1509
862	9444	1499
863	9458	1488
864	9470	1478
865	9482	1467
866	9493	1456
867	9506	1445
868	9516	1434
869	9532	1424
870	9544	1413
871	9554	1402
872	9564	1391
873	9578	1380
874	9589	1369
875	9602	1359
876	9612	1348
877	9629	1338
878	9679	1332
879	9695	1322
880	9708	1311
881	9718	1300
882	9728	1289
883	9740	1278
884	9754	1267
885	9766	1256
886	9777	1245
887	9788	1234
888	9798	1223
889	9808	1212
890	9821	1201
891	9833	1190
892	9854	1180
893	9870	1170
894	9883	1159
895	9893	1148
896	9903	1137
897	9915	1126
898	9924	1115
899	9936	1104
900	9947	1093
901	9960	1082
902	9974	1071
903	9989	1060
904	10001	1049
905	10013	1038
906	10032	1028
907	10048	1018
908	10065	1007
909	10074	996
910	10082	985
911	10091	973
912	10099	962
913	10109	951
914	10116	939
915	10125	928
916	10132	917
917	10141	905
918	10148	894
919	10157	883
920	10164	871
921	10174	860
922	10182	849
923	10191	838
924	10198	826
925	10209	815
926	10219	804
927	10229	793
928	10240	782
929	10248	771
930	10255	760
931	10262	748
932	10271	737
933	10278	726
934	10286	715
935	10295	703
936	10304	692
937	10315	681
938	10322	670
939	10331	659
940	10338	648
941	10346	637
942	10355	625
943	10365	614
944	10376	603
945	10389	593
946	10399	582
947	10406	570
948	10415	559
949	10422	548
950	10430	537
951	10437	526
952	10445	515
953	10452	504
954	10461	492
955	10469	481
956	10477	470
957	10484	459
958	10491	448
959	10499	437
960	10508	426
961	10514	415
962	10522	404
963	10529	393
964	10537	382
965	10544	371
966	10551	360
967	10560	349
968	10567	338
969	10575	327
970	10585	316
971	10596	305
972	10609	294
973	10617	283
974	10626	272
975	10633	261
976	10642	250
977	10649	239
978	10657	228
979	10665	217
980	10673	206
981	10682	195
982	10691	184
983	10700	173
984	10709	163
985	10718	152
986	10726	141
987	10734	130
988	10742	119
989	10750	108
990	10760	97
991	10774	86
992	10788	76
993	10797	65
994	10806	54
995	10815	43
996	10823	32
997	10831	21
998	10839	10
999	10848	0
