iter	MultiClass
0	1.00652211
1	0.9221546175
2	0.8474441602
3	0.7870044149
4	0.7413798112
5	0.6949185201
6	0.6543445902
7	0.6201595931
8	0.5827037529
9	0.5569842507
10	0.529231989
11	0.503497761
12	0.4829172079
13	0.4604658824
14	0.4409243617
15	0.4255249009
16	0.4095083996
17	0.397386741
18	0.3816944463
19	0.3683477728
20	0.3552399698
21	0.3435026636
22	0.3360862466
23	0.3265641445
24	0.3152837545
25	0.3057828467
26	0.3000033029
27	0.2938200772
28	0.2886018522
29	0.2824151775
30	0.2753434717
31	0.2679946555
32	0.2640032606
33	0.260850082
34	0.2563280539
35	0.2518236078
36	0.2489342542
37	0.2459464529
38	0.2422245532
39	0.2376411491
40	0.2354208847
41	0.231498805
42	0.2283599739
43	0.224207194
44	0.2211120127
45	0.2192947116
46	0.2164742412
47	0.2140429448
48	0.2120870733
49	0.2106819943
50	0.2090839769
51	0.2077846792
52	0.2052022659
53	0.2025031584
54	0.2000379288
55	0.1977343878
56	0.1961901974
57	0.1936063974
58	0.1918318691
59	0.1895165747
60	0.1881974752
61	0.1864248007
62	0.1852475325
63	0.183866603
64	0.1819105606
65	0.1808187036
66	0.1805298185
67	0.1789790086
68	0.1779823432
69	0.17650263
70	0.1750089339
71	0.1735523973
72	0.1721936052
73	0.1713489467
74	0.1692128467
75	0.1685890072
76	0.1675243475
77	0.1667929567
78	0.1661041419
79	0.1657854455
80	0.16481068
81	0.1640389572
82	0.1633516225
83	0.162579038
84	0.1621385385
85	0.1599271381
86	0.1595415021
87	0.1591149132
88	0.1584832113
89	0.1574919027
90	0.1563988356
91	0.1543616251
92	0.1531099474
93	0.1521144528
94	0.1516364866
95	0.1502915575
96	0.1498604258
97	0.148848671
98	0.1482804289
99	0.147724384
100	0.1467702726
101	0.1457332661
102	0.1449123123
103	0.1443532227
104	0.1435162461
105	0.1424940778
106	0.1417886524
107	0.1410044349
108	0.1399953813
109	0.1397106605
110	0.1391208123
111	0.1382998139
112	0.1376819079
113	0.1369631577
114	0.1364862349
115	0.1357470093
116	0.1352671657
117	0.1347027505
118	0.1335672117
119	0.1329533647
120	0.1322632761
121	0.131754566
122	0.1310677303
123	0.130231566
124	0.1296465368
125	0.1286685679
126	0.1281255528
127	0.1277490188
128	0.1269565928
129	0.1262257789
130	0.1259077188
131	0.1255392552
132	0.1249194116
133	0.1240731632
134	0.123511648
135	0.1229047237
136	0.1225564583
137	0.1217996675
138	0.1210332367
139	0.12039889
140	0.1197285878
141	0.1193110031
142	0.1186790195
143	0.1179998277
144	0.117600314
145	0.1169363144
146	0.1165595219
147	0.1160588007
148	0.115473849
149	0.1146408834
150	0.1138835368
151	0.1134252166
152	0.1129940211
153	0.1124609312
154	0.1122465482
155	0.1115492823
156	0.1111461645
157	0.1107742098
158	0.1102719215
159	0.1097359605
160	0.1092564463
161	0.1088237324
162	0.1082417343
163	0.1078559899
164	0.1072624383
165	0.1066452113
166	0.1065112612
167	0.1061401412
168	0.1057346545
169	0.1053472993
170	0.1050384554
171	0.1042664156
172	0.1041218843
173	0.1037479704
174	0.1034269685
175	0.1030206605
176	0.1027924469
177	0.1023691411
178	0.1017084976
179	0.1013572229
180	0.1012815205
181	0.1007470787
182	0.1003732973
183	0.1001482232
184	0.09959132972
185	0.09925480572
186	0.09887328888
187	0.09864219357
188	0.09824173212
189	0.09791937208
190	0.09760747759
191	0.09740552172
192	0.09697375154
193	0.0966121943
194	0.09624279492
195	0.09579226079
196	0.09554312203
197	0.09522162181
198	0.09485778043
199	0.09456631386
200	0.09442013374
201	0.09414418837
202	0.09382848456
203	0.0934292391
204	0.09302124818
205	0.09275374253
206	0.09257561297
207	0.09212906046
208	0.09174506243
209	0.09141639352
210	0.09113465331
211	0.09072544074
212	0.0905260133
213	0.09024626278
214	0.09007562331
215	0.08978514159
216	0.08963105353
217	0.08924976633
218	0.08873555982
219	0.08846297858
220	0.08826334836
221	0.08811843013
222	0.08781610397
223	0.08760835197
224	0.08739520373
225	0.08719791528
226	0.08700786394
227	0.086637791
228	0.08648162919
229	0.08643811059
230	0.08619676752
231	0.08600461331
232	0.08547383258
233	0.08514885336
234	0.08499023937
235	0.084805123
236	0.08451042936
237	0.08417149417
238	0.08386567999
239	0.08363374955
240	0.08338709404
241	0.08309207097
242	0.08260049147
243	0.08225463437
244	0.08195569195
245	0.08191313391
246	0.08158269126
247	0.08143244591
248	0.08121726829
249	0.08083799487
250	0.08058636146
251	0.08040950828
252	0.08008341673
253	0.079804557
254	0.07959092093
255	0.0793236709
256	0.07913206497
257	0.07896143583
258	0.07862536519
259	0.0784776414
260	0.0781278953
261	0.07787797527
262	0.07765578614
263	0.07749411832
264	0.07736045207
265	0.07700636787
266	0.0767276853
267	0.07635654633
268	0.07611898868
269	0.07591410908
270	0.0756797306
271	0.07544050494
272	0.07523051071
273	0.07499155673
274	0.07475573813
275	0.07449869739
276	0.07431227285
277	0.07412295245
278	0.07376036354
279	0.07357825574
280	0.07334854023
281	0.07320664764
282	0.07309166698
283	0.07293248918
284	0.07278162102
285	0.07259358932
286	0.07222308055
287	0.07198266823
288	0.07176358296
289	0.07165316707
290	0.07141527906
291	0.07125049164
292	0.07103400553
293	0.07088220752
294	0.07074345217
295	0.07069817789
296	0.0703835293
297	0.07027426481
298	0.07009044404
299	0.06993127167
300	0.06975362918
301	0.06957069506
302	0.06943111125
303	0.06934096368
304	0.06920640126
305	0.06907265025
306	0.06890532278
307	0.06866326446
308	0.06850430581
309	0.06837156862
310	0.06818718705
311	0.06804301298
312	0.06790739264
313	0.0677229798
314	0.06747190937
315	0.06731506226
316	0.06718606534
317	0.06702619418
318	0.06693161832
319	0.0667245585
320	0.06650504398
321	0.06621567667
322	0.06611690565
323	0.06598900186
324	0.0658444044
325	0.06567708668
326	0.06549965832
327	0.06534111117
328	0.0652024723
329	0.06502150455
330	0.06486355879
331	0.06476758624
332	0.06461906227
333	0.06449232587
334	0.06426519165
335	0.06411228164
336	0.06395222623
337	0.0637750775
338	0.06354343992
339	0.06341382318
340	0.06328561442
341	0.06315922761
342	0.06303626743
343	0.06290635175
344	0.06277873167
345	0.06255336597
346	0.06243693291
347	0.06232165759
348	0.06216269946
349	0.06199761165
350	0.06184455292
351	0.06165103788
352	0.06156132438
353	0.06145029636
354	0.0612914576
355	0.06113434224
356	0.0610771218
357	0.06092627577
358	0.06085779658
359	0.06065637804
360	0.06041191672
361	0.06023927632
362	0.06009789067
363	0.06001250152
364	0.05992118729
365	0.05971899648
366	0.05960785148
367	0.05945375267
368	0.05931310475
369	0.05918899309
370	0.05900719049
371	0.05879653938
372	0.0586416199
373	0.05848411613
374	0.05830737818
375	0.05825178881
376	0.0580070901
377	0.05782957971
378	0.05771427318
379	0.05760043878
380	0.05741582534
381	0.05732157606
382	0.05711984343
383	0.05690195542
384	0.05682078403
385	0.05667875287
386	0.05654549881
387	0.05641011726
388	0.05627239524
389	0.05614703226
390	0.05609719593
391	0.05589657812
392	0.05574456114
393	0.05567517415
394	0.05548350168
395	0.05538680089
396	0.05533658768
397	0.05523796306
398	0.05516128919
399	0.05507984
400	0.05494953823
401	0.0548510428
402	0.05480579431
403	0.05470746178
404	0.05458016595
405	0.05448510193
406	0.05445185788
407	0.05432573328
408	0.05422938458
409	0.05408932558
410	0.05401618016
411	0.05393167544
412	0.05386156354
413	0.05363965432
414	0.05353916948
415	0.05335325813
416	0.05326762929
417	0.05317466588
418	0.05303229859
419	0.05289126816
420	0.05281406628
421	0.05262500388
422	0.05242083813
423	0.05225381091
424	0.05215244411
425	0.05209918413
426	0.05202981706
427	0.05186444641
428	0.05179788605
429	0.051691559
430	0.0516588538
431	0.05154200928
432	0.05139002542
433	0.05130530461
434	0.05120663238
435	0.05115110484
436	0.05107826541
437	0.05095187023
438	0.05086478958
439	0.05072305027
440	0.05061181653
441	0.05054208593
442	0.05040961867
443	0.05030844846
444	0.05023040115
445	0.05011840792
446	0.05005441522
447	0.04991824353
448	0.04983098805
449	0.04968306711
450	0.04960469412
451	0.04954727779
452	0.04949132436
453	0.04942886028
454	0.04933625606
